"FEATURE,N,8,0","IDINCENDIO,N,10,5","NUMPARTE,N,12,5","FECHA,C,4","CMUNICIPIO,N,5,0","MUNICIPIO,C,100","FECHAEXTIN,C,10","SUPFOREST,N,19,2","SUPQUEMADA,N,19,2","SUPDIBUJO,N,19,2","GEOM_AREA,N,19,2","GEOM_PERI,N,19,2","BEGINLIFE,C,10"
30200036,116,2005310599,2005,110,Gallipienzo / Galipentzu,16/08/2005,242,242,261.77,2617668.4,7855.99,01/01/2020
30200036,117,2005310594,2005,101,Ezcabarte,11/08/2005,1,1,3.2,32028.36,736.13,01/01/2020
30200036,118,2006310156,2006,92,Erro,04/04/2006,6,6,13.74,137372.28,2793.25,01/01/2020
30200036,119,2006310156,2006,92,Erro,04/04/2006,6,6,18.88,188792.33,2822.44,01/01/2020
30200036,120,2005310698,2005,136,Juslapeña / Txulapain,05/08/2005,132,132,174.14,1741442.38,7879.88,01/01/2020
30200036,121,2005310621,2005,121,Guirguillano,05/09/2005,268.3,268.3,257.59,2575928.87,9496.11,01/01/2020
30200036,122,2005310655,2005,146,Leache / Leatxe,26/09/2005,0.43,0.43,1.53,15314.28,588.46,01/01/2020
30200036,123,2005310559,2005,54,Bertizarana,30/07/2005,12,12,11.77,117677.39,2426.84,01/01/2020
30200036,124,2005310157,2005,236,Ultzama,15/03/2005,1.2,1.2,0.75,7512.15,420.52,01/01/2020
30200036,125,2005310177,2005,87,Elgorriaga,17/03/2005,20,20,23.06,230586.02,2660.47,01/01/2020
30200036,127,2005310237,2005,263,Zubieta,20/03/2005,3,3,1.6,15997.38,526.11,01/01/2020
30200036,128,2005310286,2005,54,Bertizarana,22/03/2005,1.2,1.2,1.22,12214.26,430.44,01/01/2020
30200036,129,2005310353,2005,259,Igantzi,02/04/2005,15,15,8.57,85712.21,1275.65,01/01/2020
30200036,130,2005310393,2005,221,Doneztebe / Santesteban,30/04/2005,3.15,3.15,6.45,64473.17,1089.72,01/01/2020
30200036,131,2005310416,2005,54,Bertizarana,04/05/2005,0.4,0.4,1.12,11219.46,416.19,01/01/2020
30200036,132,2005310513,2005,226,Sunbilla,30/06/2005,0.8,0.8,0.09,897.21,154.79,01/01/2020
30200036,133,2005310542,2005,72,Cintruénigo,22/07/2005,3,3,4.47,44661.86,1439.93,01/01/2020
30200036,134,2005310547,2005,157,Lodosa,24/07/2005,1.04,1.04,0.31,3110.24,303.53,01/01/2020
30200036,135,2008310191,2008,50,Baztan,23/02/2008,80,80,56,560056.41,6166.41,01/01/2020
30200036,136,2008310191,2008,50,Baztan,23/02/2008,80,80,2.74,27421.71,887.33,01/01/2020
30200036,138,2008310456,2008,155,Liédena,23/07/2008,1,1,5.51,55070.12,1271.23,01/01/2020
30200036,139,2008310163,2008,54,Bertizarana,17/02/2008,28,28,19.37,193707.7,2888.19,01/01/2020
30200036,140,2008310143,2008,50,Baztan,17/02/2008,17,17,15.35,153541.78,3316.11,01/01/2020
30200036,143,2008310116,2008,50,Baztan,14/02/2008,62,62,66.94,669445.88,7307.08,01/01/2020
30200036,149,2008310164,2008,50,Baztan,18/02/2008,80,80,69.79,697860.28,6098.97,01/01/2020
30200036,150,2008310112,2008,49,Basaburua,14/02/2008,3,3,3.63,36303.37,1386.61,01/01/2020
30200036,152,2008310135,2008,49,Basaburua,16/02/2008,57.6,57.6,59.15,591479.96,4022.48,01/01/2020
30200036,153,2008310110,2008,50,Baztan,11/02/2008,6.1,6.1,6.26,62611.72,1261.74,01/01/2020
30200036,154,2008310111,2008,50,Baztan,12/02/2008,7,7,2.97,29679.28,737.44,01/01/2020
30200036,155,2008310079,2008,50,Baztan,09/02/2008,22,22,20.24,202354.4,4093.38,01/01/2020
30200036,160,2008310121,2008,140,Lantz,14/02/2008,11.2,11.2,13.27,132714.44,3003.16,01/01/2020
30200036,164,2008310090,2008,50,Baztan,10/02/2008,5.5,5.5,5.95,59498.94,1074.8,01/01/2020
30200036,165,2008310153,2008,50,Baztan,17/02/2008,50,50,12.46,124562.17,2365.25,01/01/2020
30200036,167,2008310161,2008,50,Baztan,17/02/2008,6,6,6.72,67250.75,1903.11,01/01/2020
30200036,169,2008310120,2008,235,Ujué / Uxue,14/02/2008,4,4,3.75,37524.97,1194.61,01/01/2020
30200036,170,2008310114,2008,50,Baztan,13/02/2008,8,8,7.93,79324.44,2248.29,01/01/2020
30200036,173,2008310132,2008,260,Valle de Yerri / Deierri,15/02/2008,4,4,2.05,20511.26,737.78,01/01/2020
30200036,174,2008310156,2008,44,Bakaiku,17/02/2008,1,1,6.26,62587.38,1455.32,01/01/2020
30200036,175,2008310166,2008,50,Baztan,17/02/2008,7,7,7.22,72205.81,2130.61,01/01/2020
30200036,178,2008310187,2008,54,Bertizarana,22/02/2008,16,16,12.35,123509.14,2587.18,01/01/2020
30200036,179,2008310188,2008,50,Baztan,22/02/2008,12,12,16.89,168854.51,2965.15,01/01/2020
30200036,182,2008310190,2008,50,Baztan,23/02/2008,29,29,28.68,286818.61,2387.81,01/01/2020
30200036,183,2008310212,2008,50,Baztan,24/02/2008,2,2,1.06,10581.16,950.76,01/01/2020
30200036,184,2008310375,2008,50,Baztan,13/04/2008,8,8,7.22,72151.44,1462.85,01/01/2020
30200036,185,2008310596,2008,250,Bera,31/12/2008,1.1,1.1,9.03,90300.74,1538.97,01/01/2020
30200036,186,2008310109,2008,50,Baztan,13/02/2008,60,60,68.83,688326.64,4287.66,01/01/2020
30200036,187,2008310126,2008,50,Baztan,14/02/2008,20,20,66.8,668031.2,3710.75,01/01/2020
30200036,188,2009310541,2009,237,Unciti,23/07/2009,626,626,873.31,8733022.95,19401.75,01/01/2020
30200036,189,2009310063,2009,129,Ituren,28/02/2009,36.8,36.8,35.74,357354.43,5160.72,01/01/2020
30200036,190,2009310073,2009,50,Baztan,27/02/2009,1,1,1.18,11778.8,513.46,01/01/2020
