Date,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,type
2016-05-08,7303,4.90000009536743,0,8,308,733,2423,361.0,NonSleepers
2016-05-09,5275,3.53999996185303,0,0,266,641,2281,457.0,Sleepers
2016-05-10,3915,2.63000011444092,0,0,231,783,2181,405.0,NonSleepers
2016-05-11,9105,6.1100001335144,34,22,232,622,2499,499.0,Sleepers
2016-04-29,7833,5.17999982833862,15,29,197,1096,1918,171.0,NonSleepers
2016-04-12,7213,5.88000011444092,0,0,263,718,2947,425.0,NonSleepers
2016-04-13,6877,5.57999992370605,0,0,258,777,2898,400.0,NonSleepers
2016-04-14,7860,6.36999988555908,0,0,271,772,2984,384.0,NonSleepers
2016-04-15,6506,5.28000020980835,1,8,256,944,2896,253.0,NonSleepers
2016-04-16,11140,9.02999973297119,3,24,335,556,3328,382.0,NonSleepers
2016-04-17,12692,10.289999961853,12,66,302,437,3394,591.0,Sleepers
2016-04-18,9105,7.38000011444092,22,30,191,890,3013,293.0,NonSleepers
2016-04-19,6708,5.44000005722046,10,8,179,757,2812,457.0,Sleepers
2016-04-20,8793,7.13000011444092,2,29,260,717,3061,454.0,Sleepers
2016-04-21,6530,5.30000019073486,4,41,144,901,2729,425.0,NonSleepers
2016-04-23,15126,12.2700004577637,9,66,408,469,3691,465.0,Sleepers
2016-04-24,15050,12.2200002670288,15,95,281,542,3538,480.0,Sleepers
2016-04-25,9167,7.42999982833862,6,15,270,730,3064,370.0,NonSleepers
2016-04-26,6108,4.94999980926514,1,8,216,765,2784,421.0,NonSleepers
2016-04-27,7047,5.71999979019165,1,16,238,733,2908,432.0,Sleepers
2016-04-28,9023,7.32000017166138,14,9,232,738,3033,442.0,Sleepers
2016-04-29,9930,8.05000019073486,12,19,267,692,3165,433.0,Sleepers
2016-04-30,10144,8.22999954223633,4,36,263,728,3115,479.0,Sleepers
