route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
1120815100GL023,2022-12-132023-02-23006266,0062662022-12-13,,00626,,,,2                                                                                                                                                                                                                                                                                       
3010071801GL023,2022-12-132023-02-23006311,0063112022-12-13,,00631,,,,1                                                                                                                                                                                                                                                                                       
0404078400GL023,2022-12-132023-02-23006313,0063132022-12-13,,00631,,,,2                                                                                                                                                                                                                                                                                       
1120011208GL023,2022-12-132023-02-23006314,0063142022-12-13,,00631,,,,2                                                                                                                                                                                                                                                                                       
7180130100GL023,2022-12-132023-02-23006321,0063212022-12-13,,00632,,,,2                                                                                                                                                                                                                                                                                       
7180130100GL023,2022-12-132023-02-23006322,0063222022-12-13,,00632,,,,1                                                                                                                                                                                                                                                                                       
7840030100GL023,2022-12-132023-02-23006323,0063232022-12-13,,00632,,,,2                                                                                                                                                                                                                                                                                       
7840011200GL023,2022-12-132023-02-23006324,0063242022-12-13,,00632,,,,2                                                                                                                                                                                                                                                                                       
5140571801GL026,2022-12-132023-01-29006941,0069412022-12-13,,00694,,,,1                                                                                                                                                                                                                                                                                       
5100371801GL026,2022-12-132023-01-29006942,0069422022-12-13,,00694,,,,2                                                                                                                                                                                                                                                                                       
7180151405GL026,2022-12-132023-01-29006971,0069712022-12-13,,00697,,,,1                                                                                                                                                                                                                                                                                       
7180151003GL026,2022-12-132023-01-29006972,0069722022-12-13,,00697,,,,2                                                                                                                                                                                                                                                                                       
6000081100GL023,2022-12-132022-12-23007011,0070112022-12-13,,00701,,,,1                                                                                                                                                                                                                                                                                       
6000081100GL023,2022-12-252022-12-30007011,0070112022-12-25,,00701,,,,1                                                                                                                                                                                                                                                                                       
